socks4://72.223.188.92:4145  # response: 748.45ms
socks4://98.191.0.47:4145  # response: 732.78ms
socks4://192.111.134.10:4145  # response: 1362.91ms
socks4://72.206.74.126:4145  # response: 753.49ms
socks4://192.252.211.193:4145  # response: 1665.51ms
socks4://98.191.0.37:4145  # response: 849.4ms
socks4://72.223.188.67:4145  # response: 1297.34ms
socks4://98.182.147.97:4145  # response: 1053.58ms
socks4://98.170.57.241:4145  # response: 1032.68ms
socks4://184.178.172.23:4145  # response: 997.11ms
socks4://98.190.239.3:4145  # response: 1152.03ms
socks4://184.181.217.213:4145  # response: 892.69ms
socks4://174.77.111.198:49547  # response: 996.7ms
socks4://184.178.172.3:4145  # response: 1037.21ms
socks4://98.170.57.231:4145  # response: 783.48ms
socks4://70.166.167.38:57728  # response: 996.36ms
socks4://193.233.254.9:1080  # response: 379.36ms
socks5://198.177.253.13:4145  # response: 2558.23ms
socks4://98.188.47.150:4145  # response: 824.03ms
socks4://184.178.172.5:15303  # response: 814.81ms
socks4://184.181.217.206:4145  # response: 1830.85ms
socks4://184.178.172.14:4145  # response: 1497.03ms
socks4://193.233.254.7:1080  # response: 477.23ms
socks4://184.178.172.18:15280  # response: 1768.54ms
socks4://193.233.254.8:1080  # response: 441.41ms
socks4://64.227.131.240:1080  # response: 4173.05ms
http://58.216.109.17:800  # response: 635.42ms
socks4://72.207.33.64:4145  # response: 3820.66ms
socks4://72.211.46.99:4145  # response: 2784.45ms
socks4://199.229.254.129:4145  # response: 681.98ms
socks4://142.54.239.1:4145  # response: 835.66ms
socks5://192.252.215.5:16137  # response: 903.57ms
socks5://184.170.248.5:4145  # response: 933.79ms
socks5://192.252.208.70:14282  # response: 903.59ms
socks4://192.252.216.81:4145  # response: 871.65ms
socks5://198.8.94.170:4145  # response: 925.64ms
socks4://184.181.217.201:4145  # response: 993.5ms
socks4://162.253.68.97:4145  # response: 1223.68ms
socks5://192.111.137.35:4145  # response: 829.23ms
socks4://184.178.172.25:15291  # response: 1554.61ms
socks4://192.252.208.67:14287  # response: 656.47ms
socks4://208.65.90.3:4145  # response: 1158.69ms
socks4://67.201.33.10:25283  # response: 850.43ms
socks4://174.75.211.222:4145  # response: 778.88ms
socks4://142.54.237.34:4145  # response: 1068.97ms
socks4://34.124.190.108:8080  # response: 9462.14ms
socks4://192.252.209.155:14455  # response: 975.99ms
socks5://124.248.177.43:1080  # response: 4571.9ms
socks4://98.181.137.80:4145  # response: 801.59ms
socks5://192.252.215.2:4145  # response: 882.7ms
http://116.171.106.15:3000  # response: 1070.11ms
socks5://202.62.52.20:1080  # response: 15136.53ms
http://147.91.22.150:80  # response: 5379.38ms
http://109.236.88.82:80  # response: 5529.36ms
http://209.135.168.41:80  # response: 5597.73ms
